,VTM,,
Compound,20191022 126 VTM BLANK-r001,20191022 126 VTM BLANK-r002,20191022 126 VTM BLANK-r003
11.74_219.1744m/z,7974.812367,7970.200588,7927.850054
4.36_739.2846m/z,0,0,0
11.88_243.2065m/z,7345.863951,7399.879806,7324.335793
1.78_89.0597m/z,3001.567909,3085.799944,3069.916319
9.99_603.7045m/z,14314.8198,14592.31181,14363.00749
9.82_817.0044m/z,13114.55412,12932.04529,12804.08972
9.01_196.1090n,14393.19169,14375.71549,14267.10689
11.83_566.8884m/z,9081.084673,9392.303311,9301.933871
9.76_704.9345m/z,14011.38096,14219.05565,14029.42521
7.06_675.0340m/z,7975.839355,8181.640801,8059.203181
4.36_208.0936n,3346.21199,3314.203918,3439.533912
9.25_435.7416m/z,15576.05577,15237.31285,15306.93407
9.61_694.8969m/z,15647.84086,15123.52694,15434.66568
9.82_817.5007m/z,13380.28497,13060.25595,13693.05504
12.08_285.2317m/z,8894.219358,8718.994094,8813.60305
8.55_462.2841n,14747.49135,14577.79939,14361.37733
9.86_731.9456m/z,14571.89332,14332.28197,14514.27711
10.08_808.1591n,13562.29939,13257.68801,13279.67222
19.40_185.0427m/z,8607.528551,8814.498068,8625.547362
10.02_640.7249m/z,15117.41557,15365.14162,15002.6648
9.86_830.9987n,13000.45833,13169.32286,12659.91629
9.97_694.7516m/z,14231.97264,13774.75529,13940.91073
9.72_668.3933m/z,15372.35695,15726.2829,15456.53964
9.95_706.7559m/z,13937.28734,13867.21963,13865.79477
10.04_604.0434m/z,14959.33482,14937.70323,15003.66211
8.95_128.1054m/z,8848.207317,8706.111665,8842.996574
9.33_535.3057m/z,15599.88199,15933.19139,15658.77702
10.04_975.5677n,13225.52165,12982.48802,13293.68566
5.99_911.6486m/z,5568.695075,5645.41326,5662.985435
9.42_511.7763n,15890.88941,15860.16332,15773.95338
9.99_1068.6319m/z,11776.14536,11596.96434,11086.43065
9.50_508.8121m/z,15472.00406,15416.86917,15334.14457
7.14_206.8860m/z,11571.53157,11606.43565,11509.49383
9.38_464.7645m/z,15971.26842,15997.46531,16140.66405
10.02_716.7494n,13929.48885,13179.0844,13493.88517
6.08_792.2407m/z,12936.42741,13017.96659,12806.87775
11.63_270.1929m/z,16221.39878,16250.512,16144.394
9.31_224.1292m/z,9224.113902,9155.861655,9184.727642
7.63_464.2158m/z,14808.30744,15284.43325,14917.01014
9.16_382.2225m/z,16324.76903,16367.84145,16454.18034
9.01_140.1065m/z,16414.87604,16380.25052,16441.84792
10.09_841.1867m/z,13290.2378,13081.97856,12522.98363
8.85_394.2177m/z,16279.65571,16596.8733,16652.23883
11.90_334.2721n,15048.23649,15400.78717,15291.16959
12.26_230.2481m/z,8463.708707,8495.863802,8335.844779
10.04_803.8248m/z,14281.19592,14150.66696,13838.02039
10.09_845.1854n,12358.0024,12609.77659,13420.33714
9.69_727.9151m/z,16312.60457,16417.39366,16572.38411
9.39_524.8142m/z,16981.00555,16378.85916,16823.70807
10.04_746.1170n,13950.71075,14679.06844,13381.44078
9.60_352.1139n,86.41543124,75.90985679,64.75835577
9.17_490.2894m/z,13085.64762,12795.05332,12841.99906
9.05_375.2145m/z,16782.55703,16852.11593,16930.97725
17.39_604.7907m/z,9881.070737,10606.25373,9854.600371
9.43_600.3721m/z,16880.18565,16675.52354,16796.28109
10.08_788.1266n,12857.93523,12896.17442,12905.54645
6.00_1041.1873m/z,4597.802489,5005.996695,4854.727306
11.60_249.1847m/z,8594.018739,8770.814473,8429.821277
3.14_151.0631n,1102.903056,1141.649149,1143.054753
8.14_340.1737n,7193.177216,7050.917549,7160.969925
0.87_97.0287m/z,10179.39678,10459.68187,10546.8571
12.32_332.2942n,10303.69317,10464.84791,10293.86239
9.92_598.0271n,15567.71976,15634.85065,16052.43887
9.39_410.2337m/z,17238.50347,17102.45265,16956.71888
9.26_431.2506m/z,17128.4212,17028.35425,17194.99623
4.68_933.2716m/z,0,0,0
9.31_505.7758m/z,17186.60816,17141.0707,17241.03091
11.96_554.4030n,17056.76545,17390.92793,17182.18262
9.94_651.0675m/z,15259.79109,15315.3535,14791.03822
10.01_725.1119m/z,15604.55909,15577.1775,15151.12015
9.68_655.8921n,17265.6561,17350.05405,17429.64931
5.85_294.9391m/z,14556.47019,14869.54852,14684.98902
9.94_660.0641n,16521.08296,16568.69505,16130.34897
9.91_613.0380n,15182.81196,15272.54326,15728.39611
5.84_566.8884m/z,16284.84091,15761.26836,15911.94332
9.35_541.2710m/z,11986.96442,11920.92558,11625.89581
9.38_398.2454n,17559.70009,17420.82387,17027.42661
3.18_323.1578m/z,12740.58001,12797.50979,12726.54815
10.06_604.3800m/z,16570.47325,16927.63966,16642.42768
9.86_615.8636n,17919.19962,17431.28634,17349.67182
7.01_775.2409m/z,17672.63848,17505.91155,17720.14914
4.29_134.0944n,3704.042708,3667.513315,3626.223692
10.75_302.1973m/z,11297.4366,11239.61456,11261.2323
9.98_688.0897m/z,15707.29319,15601.53915,15905.57413
9.30_489.8049m/z,17721.07464,17617.25832,17460.33438
9.96_1013.5943m/z,13804.80844,13077.25024,13136.87151
9.97_220.1669n,5286.153625,5282.147378,5303.40878
9.94_625.7123m/z,16388.44351,16459.5351,16630.84871
9.38_251.1071n,16022.63826,16055.71575,15855.85607
5.99_481.0984m/z,10321.54711,9993.508645,10010.35689
9.61_412.7665m/z,17294.74309,17657.27644,17316.94889
11.19_234.1139n,11482.99607,11544.53289,11336.24302
10.11_983.5829m/z,15280.31028,15978.88937,15565.53111
0.86_198.0978m/z,12886.81122,12499.69894,12930.81914
5.87_826.9689m/z,13970.78248,14048.30788,14098.25239
6.99_753.7608m/z,11371.20549,11241.77921,11523.83187
9.19_458.3847n,12728.29806,13454.54106,13007.3055
9.90_383.2288n,13446.72596,13244.44951,13049.88772
9.74_1054.6283m/z,14600.63836,14787.10274,14184.25468
9.76_715.9261m/z,18181.67083,18077.90245,18437.55096
9.95_712.4271m/z,16777.48179,16918.74209,16586.54775
6.11_867.3260m/z,4474.404727,4527.870216,4528.702607
9.28_848.4882m/z,17665.55965,17631.2958,17984.58572
10.04_761.8007m/z,16846.83475,16814.39232,16363.75141
10.06_807.8176n,15552.56073,15817.68834,15248.5151
9.96_690.9298m/z,17238.28292,16717.12887,17438.56495
7.04_867.1271m/z,12315.55212,12597.81028,12565.01669
9.70_716.4213m/z,18190.72989,18254.35323,18525.79599
5.98_979.1342m/z,6465.477397,6554.499311,6438.447268
9.92_597.6933n,17153.04392,17208.32913,17436.12405
8.74_656.3619m/z,18684.81161,19174.9293,18666.5441
5.94_753.0477m/z,9935.029627,10041.1877,9589.455582
11.69_311.2027m/z,9134.695849,8948.113783,8766.609634
4.68_792.2406m/z,0,0,0
8.65_631.3582n,19033.06338,19295.36344,19114.05722
9.65_483.2783m/z,19300.87326,18950.64501,19558.31476
9.44_493.7928m/z,19238.54538,19371.27827,19380.72088
12.37_244.2639m/z,10869.08568,10833.41408,10607.20485
9.80_523.8346m/z,18431.13887,18160.65088,18659.6537
9.59_510.3196m/z,19032.33589,18937.06513,19132.06147
8.23_169.0871m/z,19203.41724,19714.22276,19440.73897
9.06_363.7180n,18996.6063,18567.77366,19031.81495
9.94_634.7143n,17381.75038,17563.18423,17959.2288
9.97_697.0883n,18151.1392,17731.00697,18118.40953
8.64_307.1156m/z,19621.69467,19680.85974,19605.13058
9.76_742.9344m/z,19023.5182,18944.36641,18871.44218
10.07_798.1472n,15504.59406,15846.4562,15952.69665
8.10_192.1362n,8480.907457,8409.077467,8273.367891
9.81_550.3469m/z,19114.99761,18808.323,19141.61413
1.88_115.0367m/z,20403.60211,19665.6735,19117.09
8.17_344.3222m/z,6114.233185,6026.215057,5989.0518
10.18_767.1715n,14473.84104,13739.5718,13238.27126
9.55_557.3320m/z,19899.23274,19745.99664,19850.20407
10.03_753.7716n,16904.14384,17096.26818,15757.89578
10.03_679.7315n,16309.56913,16698.72719,16923.82939
9.77_253.1414m/z,10167.55578,10225.18139,10415.96128
11.72_613.2820m/z,4188.66348,4548.337283,4439.982113
6.09_640.7198m/z,4957.942355,4839.076016,4980.202706
10.00_721.0768n,16816.58857,16679.49074,16419.59494
4.74_967.2650m/z,0,0,0
9.52_713.4479m/z,20119.3751,20480.10287,19769.6974
3.73_126.0533m/z,17303.52121,17325.33918,17163.95378
9.82_846.9932m/z,17932.88471,17922.29062,18499.45022
9.24_544.3457m/z,20347.86509,20396.32187,20441.78575
10.10_906.5379m/z,17842.30828,17988.38623,17045.69595
9.95_692.7597m/z,17679.05561,17609.11262,17239.3232
9.44_561.3119m/z,20410.05609,20739.66186,20538.92089
2.73_161.0241m/z,8810.582998,8926.88377,9369.62281
11.60_323.2445m/z,7107.865465,7008.609132,7026.745596
9.71_782.9485m/z,19817.38554,19588.12572,19503.48154
9.93_647.0321n,18468.07646,18406.1626,18175.41508
8.74_208.1057m/z,20670.7735,20738.52033,20692.45971
9.42_583.8287m/z,20781.53066,20600.03754,20755.56225
11.53_296.2220m/z,12289.69997,12238.6403,12265.39183
9.93_655.7372m/z,17670.76498,17863.25616,17669.87101
9.87_902.0253m/z,16244.48819,16499.2824,16412.58365
11.24_270.1473n,9155.025848,8925.74271,9087.873119
9.44_433.7704m/z,20613.27654,20484.56589,20248.85055
2.60_115.0369m/z,21049.61345,21097.36685,21261.50939
3.34_305.1487m/z,21400.76125,21012.20349,21052.42826
6.43_238.1417n,2203.802048,2314.547498,2351.727333
11.27_459.2497m/z,16055.31957,16136.48064,16014.59975
8.60_251.1314m/z,19274.80184,19295.99558,19298.55775
8.65_541.2993m/z,21698.55363,21400.2558,21170.79931
7.88_183.0999m/z,18192.85345,17849.58189,17675.6738
9.38_409.7395m/z,21880.50987,21751.38807,21283.05074
6.09_770.7601m/z,5628.540195,5777.603411,5732.824589
9.76_764.4513m/z,20141.41032,20078.73676,20476.66553
9.91_581.0274m/z,19195.06826,19466.20976,19103.94764
11.58_458.2652n,20994.31099,20850.54248,20685.53187
